10.10.10.20-10.10.10.10-49156-102-6,10.10.10.20,49156,10.10.10.10,102,6,10/20/2015 14:39,4999908,22,10,990,500,99,0,45.0,50.45507195,50,50,50.0,0.0,298.0054833,6.400117762,161287.3548,342250.9624,927714,0,4999908,238090.8571,396046.7443,927714,0,3998493,444277.0,526849.5581,1001702,0,0,0,0,0,440,200,4.400080961,2.000036801,0,99,45.15151515,41.73362045,1741.695076,0,0,0,20,32,0,0,0,0,46.5625,45.0,50.0,0,0,0,1490,20,371,0,30,0,15,8192,8192,10,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
192.168.2.32-195.181.173.159-9993-9993-17,192.168.2.32,9993,195.181.173.159,9993,17,10/20/2015 23:01,94396,1,1,120,629,120,120,120.0,0.0,629,629,629.0,0.0,7934.658248,21.18733845,94396.0,0.0,94396,94396,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,10.59366922,10.59366922,120,629,289.6666667,293.871287,86360.33333,0,0,0,0,0,0,0,0,1,434.5,120.0,629.0,0,0,0,0,0,0,0,60,0,314,0,0,0,8,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
10.10.10.20-10.10.10.10-49156-102-6,10.10.10.20,49156,10.10.10.10,102,6,10/20/2015 11:41,4995913,21,9,1040,450,99,0,49.52380952,49.50012025,50,50,50.0,0.0,298.2437845,6.004908412,172272.8621,350891.6443,984519,0,4995913,249795.65,401965.8447,984519,0,4009881,501235.125,535858.7809,1011783,0,1,0,0,0,420,180,4.203435888,1.801472524,0,99,49.67741935,40.41731238,1633.55914,0,0,0,20,30,0,0,0,0,51.33333333,49.52380952,50.0,0,0,0,1490,20,298,0,34,0,15,8192,8192,10,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
34.94.197.1-192.168.2.32-52203-42409-17,34.94.197.1,52203,192.168.2.32,42409,17,10/20/2015 21:29,3508537,2,2,699,157,671,28,349.5,454.6696603,120,37,78.5,58.68986284,243.9763354,1.140076334,1169512.333,1949197.643,3419670,113,3508537,3508537.0,0.0,3508537,3508537,3419670,3419670.0,0.0,3419670,3419670,0,0,0,0,16,16,0.570038167,0.570038167,28,671,176.8,278.96541,77821.7,0,0,0,0,0,0,0,0,1,221.0,349.5,78.5,0,0,0,0,0,0,0,174,0,39,0,0,1,8,113,0,113,113,801233000000000.0,1133110000000000.0,1602470000000000.0,3419670.0
192.168.88.61-192.168.88.1-949-53-17,192.168.88.61,949,192.168.88.1,53,17,10/20/2015 13:23,4003178,3,3,93,93,31,31,31.0,0.0,31,31,31.0,0.0,46.46308508,1.498809196,800635.6,1094917.848,2000230,1019,4002158,2001079.0,240.4163056,2001249,2000909,4002159,2001079.5,245.3660531,2001253,2000906,0,0,0,0,24,24,0.749404598,0.749404598,31,31,31.0,0.0,0.0,0,0,0,0,0,0,0,0,1,36.16666667,31.0,31.0,0,0,0,0,0,0,0,15,0,15,0,0,2,8,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
10.10.10.30-10.10.10.10-53527-102-6,10.10.10.30,53527,10.10.10.10,102,6,10/20/2015 12:15,690,2,0,1,0,1,0,0.5,0.707106781,0,0,0.0,0.0,1449.275362,2898.550725,690.0,0.0,690,690,690,690.0,0.0,690,690,0,0.0,0.0,0,0,0,0,0,0,40,0,2898.550725,0.0,0,1,0.666666667,0.577350269,0.333333333,0,0,0,0,2,0,0,0,0,1.0,0.5,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
192.168.2.32-195.181.173.159-9993-9993-17,192.168.2.32,9993,195.181.173.159,9993,17,10/20/2015 22:35,92097,1,1,28,37,28,28,28.0,0.0,37,37,37.0,0.0,705.777604,21.71623397,92097.0,0.0,92097,92097,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,10.85811699,10.85811699,28,37,31.0,5.196152423,27.0,0,0,0,0,0,0,0,0,1,46.5,28.0,37.0,0,0,0,0,0,0,0,14,0,18,0,0,0,8,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
172.17.0.1-169.254.211.165-137-137-17,172.17.0.1,137,169.254.211.165,137,17,10/20/2015 21:39,3697588,2,0,100,0,50,50,50.0,0.0,0,0,0.0,0.0,27.04465722,0.540893144,3697588.0,0.0,3697588,3697588,3697588,3697588.0,0.0,3697588,3697588,0,0.0,0.0,0,0,0,0,0,0,16,0,0.540893144,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,75.0,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,1,8,0,0,0,0,801233000000000.0,1133120000000000.0,1602470000000000.0,3697588.0
10.0.4.15-195.181.173.159-9993-9993-17,10.0.4.15,9993,195.181.173.159,9993,17,10/20/2015 21:46,94569,1,1,137,629,137,137,137.0,0.0,629,629,629.0,0.0,8099.905889,21.14857934,94569.0,0.0,94569,94569,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,10.57428967,10.57428967,137,629,301.0,284.0563324,80688.0,0,0,0,0,0,0,0,0,1,451.5,137.0,629.0,0,0,0,0,0,0,0,68,0,314,0,0,0,8,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
10.10.10.30-10.10.10.10-51781-102-6,10.10.10.30,51781,10.10.10.10,102,6,10/20/2015 11:45,1186,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2529.510961,593.0,272.9432175,786,400,1186,1186.0,0.0,1186,1186,0,0.0,0.0,0,0,0,0,0,0,52,24,1686.340641,843.1703204,0,0,0.0,0.0,0.0,0,2,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,8192,0,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
