10.10.10.20-10.10.10.10-49156-102-6,10.10.10.20,49156,10.10.10.10,102,6,10/20/2015 14:39,4999908,22,10,990,500,99,0,45.0,50.45507195,50,50,50.0,0.0,298.0054833,6.400117762,161287.3548,342250.9624,927714,0,4999908,238090.8571,396046.7443,927714,0,3998493,444277.0,526849.5581,1001702,0,0,0,0,0,440,200,4.400080961,2.000036801,0,99,45.15151515,41.73362045,1741.695076,0,0,0,20,32,0,0,0,0,46.5625,45.0,50.0,0,0,0,1490,20,371,0,30,0,15,8192,8192,10,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
192.168.2.32-195.181.173.159-9993-9993-17,192.168.2.32,9993,195.181.173.159,9993,17,10/20/2015 23:01,94396,1,1,120,629,120,120,120.0,0.0,629,629,629.0,0.0,7934.658248,21.18733845,94396.0,0.0,94396,94396,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,10.59366922,10.59366922,120,629,289.6666667,293.871287,86360.33333,0,0,0,0,0,0,0,0,1,434.5,120.0,629.0,0,0,0,0,0,0,0,60,0,314,0,0,0,8,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
10.10.10.20-10.10.10.10-49156-102-6,10.10.10.20,49156,10.10.10.10,102,6,10/20/2015 11:41,4995913,21,9,1040,450,99,0,49.52380952,49.50012025,50,50,50.0,0.0,298.2437845,6.004908412,172272.8621,350891.6443,984519,0,4995913,249795.65,401965.8447,984519,0,4009881,501235.125,535858.7809,1011783,0,1,0,0,0,420,180,4.203435888,1.801472524,0,99,49.67741935,40.41731238,1633.55914,0,0,0,20,30,0,0,0,0,51.33333333,49.52380952,50.0,0,0,0,1490,20,298,0,34,0,15,8192,8192,10,20,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
34.94.197.1-192.168.2.32-52203-42409-17,34.94.197.1,52203,192.168.2.32,42409,17,10/20/2015 21:29,3508537,2,2,699,157,671,28,349.5,454.6696603,120,37,78.5,58.68986284,243.9763354,1.140076334,1169512.333,1949197.643,3419670,113,3508537,3508537.0,0.0,3508537,3508537,3419670,3419670.0,0.0,3419670,3419670,0,0,0,0,16,16,0.570038167,0.570038167,28,671,176.8,278.96541,77821.7,0,0,0,0,0,0,0,0,1,221.0,349.5,78.5,0,0,0,0,0,0,0,174,0,39,0,0,1,8,113,0,113,113,801233000000000.0,1133110000000000.0,1602470000000000.0,3419670.0
192.168.88.61-192.168.88.1-949-53-17,192.168.88.61,949,192.168.88.1,53,17,10/20/2015 13:23,4003178,3,3,93,93,31,31,31.0,0.0,31,31,31.0,0.0,46.46308508,1.498809196,800635.6,1094917.848,2000230,1019,4002158,2001079.0,240.4163056,2001249,2000909,4002159,2001079.5,245.3660531,2001253,2000906,0,0,0,0,24,24,0.749404598,0.749404598,31,31,31.0,0.0,0.0,0,0,0,0,0,0,0,0,1,36.16666667,31.0,31.0,0,0,0,0,0,0,0,15,0,15,0,0,2,8,0,0,0,0,1450000000000000.0,0.0,1450000000000000.0,1450000000000000.0
172.28.129.14-172.28.129.12-36960-4488-6,172.28.129.14,36960,172.28.129.12,4488,6,10/20/2015 22:43,51281,2,2,128,160,128,0,64.0,90.50966799,160,0,80.0,113.137085,5616.11513,78.00159903,17093.66667,29365.73357,51002,17,51281,51281.0,0.0,51281,51281,51002,51002.0,0.0,51002,51002,1,0,0,0,64,64,39.00079952,39.00079952,0,160,83.2,77.0662053,5939.2,0,0,0,2,4,0,0,0,1,104.0,64.0,80.0,0,0,0,0,0,0,0,32,0,40,413,256,0,32,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
192.168.2.52-192.168.2.36-36778-4455-6,192.168.2.52,36778,192.168.2.36,4455,6,10/20/2015 21:58,2763599,4,5,1392,272,720,128,348.0,272.9004703,144,0,54.4,74.70475219,602.1134036,3.256622976,345449.875,688290.3693,2032539,195,2560728,853576.0,1210746.462,2239283,195,2557308,639327.0,929882.5013,2032539,111807,1,0,0,0,128,160,1.447387989,1.809234987,0,720,179.2,221.1629867,48913.06667,0,0,0,6,9,0,0,0,1,199.1111111,348.0,54.4,0,0,0,1376,4,4274,0,154,0,30,503,502,3,32,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
172.28.129.14-172.28.129.12-36960-4488-6,172.28.129.14,36960,172.28.129.12,4488,6,10/20/2015 22:44,4834671,20,20,2160,2496,384,0,108.0,120.2803742,336,0,124.8,131.5917131,963.0438141,8.273572287,123965.9231,202010.7425,635628,11,4834671,254456.3684,226127.4736,635628,47710,4833999,254421.0,226613.5249,635871,47356,1,0,0,0,640,640,4.136786143,4.136786143,0,384,119.0243902,124.2989316,15450.22439,0,0,0,20,40,0,0,0,1,122.0,108.0,124.8,0,0,0,4656,20,963,0,54,0,62,620,256,9,32,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
172.28.129.14-172.28.129.11-46472-4477-6,172.28.129.14,46472,172.28.129.11,4477,6,10/20/2015 22:18,4200542,12,12,880,2240,176,0,73.33333333,78.22268136,1152,0,186.6666667,323.9274142,742.7612913,5.713548394,182632.2609,394031.4167,1658032,14,4200542,381867.4545,507846.9674,1658032,47607,4200252,381841.0909,508199.7409,1658642,47328,1,0,0,0,384,384,2.856774197,2.856774197,0,1152,129.92,232.6116076,54108.16,0,0,0,12,24,0,0,0,1,135.3333333,73.33333333,186.6666667,0,0,0,1560,6,1227,0,36,0,93,1841,256,5,32,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
172.28.129.14-172.28.129.10-56286-4477-6,172.28.129.14,56286,172.28.129.10,4477,6,10/20/2015 22:32,57547,2,2,128,160,128,0,64.0,90.50966799,160,0,80.0,113.137085,5004.604932,69.50840183,19182.33333,32795.95189,57051,30,57547,57547.0,0.0,57547,57547,57051,57051.0,0.0,57051,57051,1,0,0,0,64,64,34.75420091,34.75420091,0,160,83.2,77.0662053,5939.2,0,0,0,2,4,0,0,0,1,104.0,64.0,80.0,0,0,0,0,0,0,0,32,0,40,770,256,0,32,0,0,0,0,1602470000000000.0,0.0,1602470000000000.0,1602470000000000.0
